x,y,z,interval,sample,frame
-1.02546,-0.66032,0.08019,1,38.9,38.9
-1.06455,-0.66873,0.15683,1,39.0,39.0
-1.08888,-0.67815,0.23166,1,39.1,39.1
-1.09832,-0.68877,0.30754,1,39.2,39.2
-1.09317,-0.70083,0.38807,1,39.3,39.3
-1.07379,-0.71459,0.47687,1,39.4,39.4
-1.04048,-0.73028,0.57755,1,39.5,39.5
-0.99358,-0.74816,0.69372,1,39.6,39.6
-0.93342,-0.76847,0.82899,1,39.7,39.7
-0.86033,-0.79147,0.98696,1,39.8,39.8
-0.77463,-0.81738,1.17125,1,39.9,39.9
-0.67665,-0.84647,1.38547,1,40.0,40.0
-0.56722,-0.87853,1.63046,1,40.1,40.1
-0.44909,-0.91157,1.89593,1,40.2,40.2
-0.32553,-0.94313,2.16885,1,40.3,40.3
-0.19979,-0.97078,2.43618,1,40.4,40.4
-0.07512,-0.99207,2.68485,1,40.5,40.5
0.04521,-1.00454,2.90184,1,40.6,40.6
0.15796,-1.00577,3.07408,1,40.7,40.7
0.25986,-0.99329,3.18855,1,40.8,40.8
0.34767,-0.96468,3.23218,1,40.9,40.9
0.41812,-0.91747,3.19194,1,41.0,41.0
0.46884,-0.85016,3.05961,1,41.1,41.1
0.50103,-0.76497,2.84628,1,41.2,41.2
0.51673,-0.66508,2.5679,1,41.3,41.3
0.51803,-0.55362,2.2404,1,41.4,41.4
0.50699,-0.43378,1.87971,1,41.5,41.5
0.48568,-0.3087,1.50176,1,41.6,41.6
0.45616,-0.18155,1.12249,1,41.7,41.7
0.42051,-0.05548,0.75782,1,41.8,41.8
0.38079,0.06633,0.4237,1,41.9,41.9
0.33906,0.18074,0.13605,1,42.0,42.0
0.29735,0.2854,-0.09258,1,42.1,42.1
0.25739,0.38125,-0.26323,1,42.2,42.2
0.22089,0.47004,-0.38029,1,42.3,42.3
0.18955,0.55355,-0.4482,1,42.4,42.4
0.16505,0.63352,-0.47136,1,42.5,42.5
0.14909,0.71172,-0.45418,1,42.6,42.6
0.14337,0.7899,-0.40109,1,42.7,42.7
0.14958,0.86983,-0.3165,1,42.8,42.8
0.16942,0.95326,-0.20483,1,42.9,42.9
0.20458,1.04195,-0.07048,1,43.0,43.0
0.25574,1.13686,0.08184,1,43.1,43.1
0.3195,1.23568,0.24634,1,43.2,43.2
0.39144,1.33532,0.41694,1,43.3,43.3
0.46715,1.43268,0.58757,1,43.4,43.4
0.5422,1.52465,0.75214,1,43.5,43.5
0.61217,1.60813,0.90458,1,43.6,43.6
0.67266,1.68003,1.03881,1,43.7,43.7
0.71925,1.73724,1.14875,1,43.8,43.8
0.7475,1.77665,1.22833,1,43.9,43.9
0.75302,1.79518,1.27146,1,44.0,44.0
0.73285,1.79077,1.27426,1,44.1,44.1
0.69001,1.76567,1.24157,1,44.2,44.2
0.62896,1.72317,1.1804,1,44.3,44.3
0.55419,1.66656,1.09777,1,44.4,44.4
0.47017,1.59915,1.00071,1,44.5,44.5
0.38139,1.52422,0.89625,1,44.6,44.6
0.29233,1.44509,0.79139,1,44.7,44.7
0.20746,1.36503,0.69317,1,44.8,44.8
0.13125,1.28736,0.6086,1,44.9,44.9
0.06821,1.21537,0.54471,1,45.0,45.0
0.02174,1.15162,0.50688,1,45.1,45.1
-0.00891,1.09574,0.4939,1,45.2,45.2
-0.02555,1.04661,0.50295,1,45.3,45.3
-0.03,1.00314,0.53119,1,45.4,45.4
-0.02406,0.96421,0.57578,1,45.5,45.5
-0.00955,0.92872,0.63388,1,45.6,45.6
0.01171,0.89556,0.70265,1,45.7,45.7
0.03793,0.86361,0.77926,1,45.8,45.8
0.06728,0.83179,0.86088,1,45.9,45.9
0.09796,0.79896,0.94465,1,46.0,46.0
0.12845,0.76423,1.02799,1,46.1,46.1
0.15845,0.72743,1.10925,1,46.2,46.2
0.18797,0.68859,1.18702,1,46.3,46.3
0.21701,0.64776,1.25991,1,46.4,46.4
0.24557,0.60496,1.3265,1,46.5,46.5
0.27366,0.56023,1.38539,1,46.6,46.6
0.30126,0.51361,1.43518,1,46.7,46.7
0.3284,0.46513,1.47446,1,46.8,46.8
0.35506,0.41482,1.50182,1,46.9,46.9
0.38125,0.36271,1.51586,1,47.0,47.0
0.40691,0.30907,1.5158,1,47.1,47.1
0.43171,0.25503,1.50331,1,47.2,47.2
0.45528,0.20194,1.4807,1,47.3,47.3
0.47723,0.15116,1.45026,1,47.4,47.4
0.49718,0.10405,1.4143,1,47.5,47.5
0.51474,0.06196,1.37511,1,47.6,47.6
0.52953,0.02626,1.335,1,47.7,47.7
0.54116,-0.00172,1.29627,1,47.8,47.8
0.54925,-0.0206,1.26121,1,47.9,47.9
0.55341,-0.02903,1.23212,1,48.0,48.0
0.55349,-0.02622,1.21071,1,48.1,48.1
0.55017,-0.01358,1.19624,1,48.2,48.2
0.54439,0.0069,1.18737,1,48.3,48.3
0.53706,0.03325,1.18277,1,48.4,48.4
0.5291,0.06349,1.18111,1,48.5,48.5
0.52144,0.09563,1.18105,1,48.6,48.6
0.51498,0.12771,1.18125,1,48.7,48.7
0.51065,0.15773,1.18039,1,48.8,48.8
0.50937,0.18372,1.17712,1,48.9,48.9
0.51207,0.20371,1.17011,1,49.0,49.0
0.51933,0.21617,1.15838,1,49.1,49.1
0.53051,0.22143,1.14242,1,49.2,49.2
0.54461,0.22029,1.12304,1,49.3,49.3
0.56066,0.21353,1.10109,1,49.4,49.4
0.57767,0.20195,1.07739,1,49.5,49.5
0.59466,0.18633,1.05278,1,49.6,49.6
0.61066,0.16747,1.02809,1,49.7,49.7
0.62467,0.14616,1.00415,1,49.8,49.8
0.63573,0.12319,0.9818,1,49.9,49.9
0.64284,0.09934,0.96186,1,50.0,50.0
0.64531,0.07529,0.94497,1,50.1,50.1
0.6436,0.05115,0.93092,1,50.2,50.2
0.63844,0.02694,0.91932,1,50.3,50.3
0.63059,0.00265,0.90975,1,50.4,50.4
0.62077,-0.02172,0.90181,1,50.5,50.5
0.60974,-0.04615,0.8951,1,50.6,50.6
